id,name,position,value
1,David Raya Martín,GK,55
2,Kepa Arrizabalaga Revuelta,GK,45
3,Karl Hein,GK,40
4,Tommy Setford,GK,40
5,Gabriel dos Santos Magalhães,DEF,60
6,William Saliba,DEF,60
7,Riccardo Calafiori,DEF,55
8,Jurriën Timber,DEF,55
9,Jakub Kiwior,DEF,55
10,Myles Lewis-Skelly,DEF,55
11,Benjamin White,DEF,55
12,Oleksandr Zinchenko,DEF,50
13,Brayden Clarke,DEF,40
14,Maldini Kacurri,DEF,40
15,Josh Nichols,DEF,40
16,Bukayo Saka,MID,100
17,Martin Ødegaard,MID,80
18,Noni Madueke,MID,70
19,Gabriel Martinelli Silva,MID,70
20,Leandro Trossard,MID,70
21,Declan Rice,MID,65
22,Mikel Merino Zazón,MID,60
23,Fábio Ferreira Vieira,MID,55
24,Christian Nørgaard,MID,55
25,Ethan Nwaneri,MID,55
26,Martín Zubimendi Ibáñez,MID,55
27,Reiss Nelson,MID,50
28,Ismeal Kabia,MID,45
29,Albert Sambi Lokonga,MID,45
30,Kai Havertz,FWD,75
31,Gabriel Fernando de Jesus,FWD,65
662,Cristhian Mosquera,DEF,55
666,Viktor Gyökeres,FWD,90
32,Emiliano Martínez Romero,GK,50
33,Marco Bizot,GK,45
34,Joe Gauci,GK,40
35,Filip Marschall,GK,40
36,Matty Cash,DEF,45
37,Lucas Digne,DEF,45
38,Ezri Konsa Ngoyo,DEF,45
39,Ian Maatsen,DEF,45
40,Tyrone Mings,DEF,45
41,Pau Torres,DEF,45
42,Andrés García,DEF,40
43,Álex Moreno Lopera,DEF,40
44,Lamare Bogarde,DEF,40
45,Lino da Cruz Sousa,DEF,40
46,Yasin Özcan,DEF,40
47,Morgan Rogers,MID,70
48,Youri Tielemans,MID,60
49,Leon Bailey,MID,55
50,Emiliano Buendía Stati,MID,55
51,Samuel Iling-Junior,MID,55
53,Donyell Malen,MID,55
54,John McGinn,MID,55
55,Ross Barkley,MID,50
56,Enzo Barrenechea,MID,50
57,Lewis Dobbin,MID,50
58,Boubacar Kamara,MID,50
59,Amadou Onana,MID,50
60,Ben Broggio,MID,45
61,Leander Dendoncker,MID,45
62,Jamaldeen Jimoh-Aloba,MID,45
63,Kadan Young,MID,45
64,Ollie Watkins,FWD,90
65,Zépiqueno Redmond,FWD,45
677,Evann Guessand,MID,65
688,James Wright,GK,40
183,Max Weiß,GK,45
184,Etienne Green,GK,40
185,Václav Hladký,GK,40
186,Connor Roberts,DEF,45
187,Kyle Walker,DEF,45
188,Hannes Delcroix,DEF,40
189,Owen Dodgson,DEF,40
190,Hjalmar Ekdal,DEF,40
191,Maxime Estève,DEF,40
192,Quilindschy Hartman,DEF,40
193,Bashir Humphreys,DEF,40
194,Jordan Beyer,DEF,40
195,Lucas Pires Silva,DEF,40
196,Shurandy Sambo,DEF,40
197,Oliver Sonne,DEF,40
198,Axel Tuanzebe,DEF,40
199,Joe Worrall,DEF,40
200,Jaidon Anthony,MID,55
201,Manuel Benson Hedilazio,MID,55
202,Jacob Bruun Larsen,MID,55
203,Enock Agyei,MID,50
204,Darko Churlinov,MID,50
205,Josh Cullen,MID,50
206,Marcus Edwards,MID,50
207,Hannibal Mejbri,MID,50
208,Luca Koleosho,MID,50
209,Josh Laurent,MID,50
210,Loum Tchaouna,MID,50
211,Aaron Ramsey,MID,45
212,Oluwaseun Adewumi,MID,45
213,Jaydon Banel,MID,45
214,Mike Trésor Ndayishimiye,MID,45
215,Zian Flemming,FWD,55
216,Zeki Amdouni,FWD,50
217,Lyle Foster,FWD,50
218,Ashley Barnes,FWD,45
219,Michael Obafemi,FWD,45
470,Martin Dúbravka,GK,40
676,Lesley Ugochukwu,MID,50
680,Armando Broja,FWD,55
66,Norberto Murara Neto,GK,45
67,Đorđe Petrović,GK,45
68,Will Dennis,GK,40
69,Callan McKenna,GK,40
70,Alex Paulsen,GK,40
71,Illia Zabarnyi,DEF,50
72,Marcos Senesi Barón,DEF,45
73,Adam Smith,DEF,45
74,Adrien Truffert,DEF,45
75,Matai Akinmboni,DEF,40
76,Owen Bevan,DEF,40
77,James Hill,DEF,40
78,Julián Araujo Zúñiga,DEF,40
79,Chris Mepham,DEF,40
80,Julio Soler Barreto,DEF,40
81,Justin Kluivert,MID,70
