name,GW,position,value,strength_difference,attack_strength_difference,defence_strength_difference,was_home,ict_index_ewma,minutes_ewma,total_points_ewma,total_points
Aaron Hickey,1,DEF,40,0.0,-100.0,140.0,0,0.0,0.0,0.0,0
Aaron Hickey,2,DEF,40,0.0,-220.0,-40.0,1,0.2,2.0,0.0,1
Aaron Hickey,3,DEF,40,1.0,30.0,240.0,0,0.2666666666666667,5.0,0.3333333333333333,0
Aaron Ramsdale,1,GK,50,1.0,30.0,210.0,0,0.0,0.0,0.0,0
Aaron Ramsdale,2,GK,50,-1.0,-250.0,-90.0,1,0.0,0.0,0.0,0
Aaron Ramsdale,3,GK,50,2.0,120.0,270.0,0,0.0,0.0,0.0,0
Aaron Ramsey,1,MID,45,-1.0,-110.0,-50.0,0,0.0,0.0,0.0,0
Aaron Ramsey,2,MID,45,0.0,0.0,0.0,1,0.0,0.0,0.0,0
Aaron Ramsey,3,MID,45,-1.0,-50.0,-60.0,0,0.0,0.0,0.0,0
Aaron Wan-Bissaka,1,DEF,45,1.0,50.0,50.0,0,0.0,0.0,0.0,1
Aaron Wan-Bissaka,2,DEF,45,-1.0,-200.0,-90.0,1,5.1,90.0,1.0,0
Aaron Wan-Bissaka,3,DEF,44,0.0,-80.0,-50.0,0,4.633333333333334,90.0,0.6666666666666667,0
Aarón Anselmino,1,DEF,40,1.0,-40.0,90.0,1,0.0,0.0,0.0,0
Aarón Anselmino,2,DEF,40,1.0,90.0,200.0,0,0.0,0.0,0.0,0
Aarón Anselmino,3,DEF,40,1.0,30.0,90.0,1,0.0,0.0,0.0,0
Abdallah Sima,1,MID,55,0.0,-30.0,80.0,1,0.0,0.0,0.0,0
Abdallah Sima,2,MID,55,0.0,80.0,70.0,0,0.0,0.0,0.0,0
Abdallah Sima,3,MID,54,-1.0,-290.0,-40.0,1,0.0,0.0,0.0,0
Abdoullah Ba,1,MID,45,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,0
Abdoullah Ba,2,MID,45,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Abdoullah Ba,3,MID,45,-1.0,-240.0,-30.0,1,0.0,0.0,0.0,0
Abdukodir Khusanov,1,DEF,55,1.0,130.0,300.0,0,0.0,0.0,0.0,1
Abdukodir Khusanov,2,DEF,55,1.0,0.0,200.0,1,0.4,8.0,1.0,0
Abdukodir Khusanov,3,DEF,54,1.0,40.0,290.0,0,0.2666666666666667,5.333333333333334,0.6666666666666667,1
Adam Aznou,1,DEF,45,1.0,90.0,40.0,0,0.0,0.0,0.0,0
Adam Aznou,2,DEF,45,0.0,-70.0,-80.0,1,0.0,0.0,0.0,0
Adam Aznou,3,DEF,44,0.0,20.0,10.0,0,0.0,0.0,0.0,0
Adam Smith,1,DEF,45,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,1
Adam Smith,2,DEF,45,0.0,-50.0,100.0,1,2.7,89.0,1.0,6
Adam Smith,3,DEF,45,0.0,0.0,100.0,0,2.1,89.33333333333334,2.666666666666667,1
Adam Webster,1,DEF,45,0.0,-30.0,80.0,1,0.0,0.0,0.0,0
Adam Webster,2,DEF,45,0.0,80.0,70.0,0,0.0,0.0,0.0,0
Adam Webster,3,DEF,44,-1.0,-290.0,-40.0,1,0.0,0.0,0.0,0
Adam Wharton,1,MID,50,-1.0,-90.0,40.0,0,0.0,0.0,0.0,3
Adam Wharton,2,MID,50,0.0,-60.0,-70.0,1,3.7,90.0,3.0,2
Adam Wharton,3,MID,50,0.0,-10.0,80.0,0,3.4000000000000004,87.0,2.6666666666666665,1
Adama Traoré Diarra,1,MID,55,0.0,-80.0,30.0,0,0.0,0.0,0.0,1
Adama Traoré Diarra,2,MID,55,0.0,-10.0,10.0,1,0.0,24.0,1.0,0
Adama Traoré Diarra,3,MID,54,-1.0,-90.0,-30.0,0,0.0,16.0,0.6666666666666667,1
Adrian Mazilu,1,MID,45,0.0,-30.0,80.0,1,0.0,0.0,0.0,0
Adrian Mazilu,2,MID,45,0.0,80.0,70.0,0,0.0,0.0,0.0,0
Adrian Mazilu,3,MID,45,-1.0,-290.0,-40.0,1,0.0,0.0,0.0,0
Adrien Truffert,1,DEF,45,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,0
Adrien Truffert,2,DEF,45,0.0,-50.0,100.0,1,3.7,90.0,0.0,6
Adrien Truffert,3,DEF,45,0.0,0.0,100.0,0,3.9000000000000004,90.0,2.0,7
Ahmed Abdullahi,1,FWD,45,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,0
Ahmed Abdullahi,2,FWD,45,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Ahmed Abdullahi,3,FWD,45,-1.0,-240.0,-30.0,1,0.0,0.0,0.0,0
Aji Alese,1,DEF,40,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,0
Aji Alese,2,DEF,40,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Aji Alese,3,DEF,40,-1.0,-240.0,-30.0,1,0.0,0.0,0.0,0
Alan Browne,1,MID,45,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,0
Alan Browne,2,MID,45,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Alan Browne,3,MID,45,-1.0,-240.0,-30.0,1,0.0,0.0,0.0,0
Albert Sambi Lokonga,1,MID,45,1.0,250.0,190.0,0,0.0,0.0,0.0,0
Albert Sambi Lokonga,2,MID,45,2.0,250.0,240.0,1,0.0,0.0,0.0,0
Albert Sambi Lokonga,3,MID,45,-1.0,-30.0,10.0,0,0.0,0.0,0.0,0
Alejandro Garnacho Ferreyra,1,MID,65,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,0
Alejandro Garnacho Ferreyra,2,MID,65,0.0,-10.0,10.0,0,0.0,0.0,0.0,0
Alejandro Garnacho Ferreyra,3,MID,64,1.0,60.0,50.0,1,0.0,0.0,0.0,0
Alex Cairns,1,GK,40,-1.0,-40.0,-90.0,1,0.0,0.0,0.0,0
Alex Cairns,2,GK,40,-2.0,-240.0,-250.0,0,0.0,0.0,0.0,0
Alex Cairns,3,GK,40,-2.0,-270.0,-120.0,1,0.0,0.0,0.0,0
Alex Iwobi,1,MID,65,0.0,-80.0,30.0,0,0.0,0.0,0.0,2
Alex Iwobi,2,MID,65,0.0,-10.0,10.0,1,5.1,65.0,2.0,7
Alex Iwobi,3,MID,65,-1.0,-90.0,-30.0,0,5.533333333333333,73.33333333333334,3.6666666666666665,1
Alex Murphy,1,DEF,40,1.0,30.0,210.0,0,0.0,0.0,0.0,0
Alex Murphy,2,DEF,40,-1.0,-250.0,-90.0,1,0.0,0.0,0.0,0
Alex Murphy,3,DEF,40,2.0,120.0,270.0,0,0.0,0.0,0.0,0
Alex Paulsen,1,GK,40,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,0
Alex Paulsen,2,GK,40,0.0,-50.0,100.0,1,0.0,0.0,0.0,0
Alex Paulsen,3,GK,40,0.0,0.0,100.0,0,0.0,0.0,0.0,0
Alex Scott,1,MID,50,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,2
Alex Scott,2,MID,50,0.0,-50.0,100.0,1,0.6,73.0,2.0,2
Alex Scott,3,MID,50,0.0,0.0,100.0,0,1.2666666666666666,70.33333333333334,2.0,3
Alexander Isak,1,FWD,105,1.0,30.0,210.0,0,0.0,0.0,0.0,0
Alexander Isak,2,FWD,104,-1.0,-250.0,-90.0,1,0.0,0.0,0.0,0
Alexander Isak,3,FWD,104,2.0,120.0,270.0,0,0.0,0.0,0.0,0
Alexis Mac Allister,1,MID,65,2.0,90.0,220.0,1,0.0,0.0,0.0,5
Alexis Mac Allister,2,MID,65,1.0,90.0,250.0,0,5.4,71.0,5.0,0
Alexis Mac Allister,3,MID,65,1.0,-10.0,30.0,1,3.6000000000000005,47.333333333333336,3.333333333333334,3
Alfie Pond,1,DEF,40,-1.0,-300.0,-130.0,1,0.0,0.0,0.0,0
Alfie Pond,2,DEF,40,0.0,-100.0,50.0,0,0.0,0.0,0.0,0
