name,season,GW,position,value,strength_difference,attack_strength_difference,defence_strength_difference,was_home,ict_index_ewma,minutes_ewma,total_points_ewma,total_points
Aaron Cresswell,2022-23,1,DEF,50,-2.0,-235.0,-280.0,1,0.0,0.0,0.0,1
Aaron Cresswell,2022-23,2,DEF,50,0.0,120.0,45.0,0,4.1,90.0,1.0,2
Aaron Cresswell,2022-23,3,DEF,50,0.0,-55.0,-90.0,1,5.433333333333334,90.0,1.3333333333333335,0
Aaron Cresswell,2022-23,4,DEF,50,0.0,80.0,40.0,0,5.855555555555556,90.0,0.8888888888888891,6
Aaron Cresswell,2022-23,5,DEF,49,0.0,-85.0,-150.0,1,4.837037037037038,90.0,2.5925925925925926,2
Aaron Cresswell,2022-23,8,DEF,48,0.0,110.0,40.0,0,4.191358024691358,83.66666666666667,2.3950617283950617,2
Aaron Cresswell,2022-23,9,DEF,48,0.0,65.0,-40.0,1,4.56090534979424,85.77777777777779,2.263374485596708,5
Aaron Cresswell,2022-23,10,DEF,48,0.0,5.0,-5.0,1,3.9739368998628266,87.18518518518519,3.175582990397805,2
Aaron Cresswell,2022-23,11,DEF,48,1.0,90.0,40.0,0,4.949291266575218,88.12345679012347,2.7837219935985367,3
Aaron Cresswell,2022-23,12,DEF,48,-1.0,-110.0,-70.0,0,5.666194177716811,88.74897119341566,2.8558146623990246,2
Aaron Cresswell,2022-23,13,DEF,48,1.0,65.0,-50.0,1,5.710796118477875,89.16598079561044,2.5705431082660164,8
Aaron Cresswell,2022-23,14,DEF,48,0.0,-15.0,-30.0,0,7.307197412318583,89.44398719707362,4.380362072177345,2
Aaron Cresswell,2022-23,15,DEF,48,0.0,55.0,-50.0,1,6.004798274879056,89.62932479804908,3.58690804811823,1
Aaron Cresswell,2022-23,16,DEF,48,0.0,25.0,-50.0,1,4.8031988499193705,89.7528831986994,2.724605365412154,1
Aaron Cresswell,2022-23,17,DEF,48,-1.0,-90.0,-140.0,0,5.868799233279581,89.8352554657996,2.1497369102747697,1
